,TP53,TNFSF10,IL1R1,PRKAR2B,FAS,ENDOG,CSF2RB,AIFM1,BIRC3,PIK3R1
X129,2.21285183322192,2.34644502829575,2.30345571389366,2.1072512423191,2.1838612399077,2.05533325833587,2.05017234749783,2.10623560321545,2.28107438776296,1.98403548227921
X351,2.10751137187481,2.30625833836034,2.43116562530977,2.27185162109817,2.23560091701251,2.18679931149706,2.01268857045654,2.28218950993434,2.09842765925207,2.08771720373092
X440,1.92161160166819,2.24510427424604,2.44088858103719,2.08522975759044,2.25856841757725,2.02654564802633,2.11358327284345,2.35083034682204,2.05165916066738,2.0854534339863
X445,1.87221747526867,2.42335123033048,2.47665351954141,2.13737312876652,2.30825896608985,2.0849587936158,2.22571484773585,2.17710916779544,2.1458037894416,2.16515238584315
X474,2.12462759980708,2.53843240870452,2.37907935854073,2.09579459859261,2.24808983568497,2.02417985732247,1.84259832704161,2.20220990767842,2.12241601794822,2.18620070377557
X479,1.99538307328832,2.30669463723797,2.34737966636376,1.96464077339016,2.24248046095949,2.11144395780533,2.04291629249735,2.32501563683985,2.04928125858494,2.18617149423078
X485,2.00736400679252,2.25858513743396,2.45025913029232,2.09757979447681,2.31640318194297,2.06843494066971,2.09946105721877,2.33060776453442,2.17604406786291,2.15047532908033
X487,1.94522848820591,2.12887078730749,2.39476127604777,1.94917766205846,2.23410601806246,2.13945303439456,1.89231797366303,2.2035567092288,1.8792299074996,2.17776762362138
X490,2.13928821391313,2.15013762853831,2.48514328845353,2.12438383609416,2.38774484010798,1.98641437880798,2.26421321947445,2.20424984227297,2.32815341959593,2.14108211782809
X498,2.05538063577078,2.23254774766272,2.40211182517909,2.22026704870433,2.31377129350897,2.02778239090131,2.18769486912006,2.35486629923595,2.23815536593818,2.20426639212527
X500,2.14090345992459,2.20108157399676,2.35767726250958,2.12347517336787,2.24151787324559,2.20373555705186,1.954633419032,2.28341450591836,2.02052850114712,2.09074491715119
X507,2.09155784195841,2.30381533593478,2.49126803983995,1.90117574914371,2.27833645683155,2.14794445982592,2.08560003914533,2.26263251209089,2.18661628562983,2.18332283883321
X511,2.10304819898049,2.30131829093904,2.46151945560147,2.18379930474929,2.36670571432365,2.07948154087986,2.33784315752333,2.25303238816437,2.39421669694514,2.15421732651131
X516,2.15110733771903,2.26776898530844,2.44897458974893,2.03237744949071,2.27612817493169,2.07012073763308,2.11312531964454,2.230762507354,2.05639806851122,2.06956795788154
X532,2.09027143609859,2.30895873809612,2.32537540956123,2.09857237474534,2.13431435942275,1.97915286469857,2.0258759306932,2.25970055622848,2.01541355686308,2.1184891629305
X533,2.18688351460174,2.23254023979689,2.37742536837687,2.11662893904694,2.34690528169203,2.04526926370592,1.96633583151203,2.23911267003847,2.06588126530689,2.22034305189216
X536,1.7918527982061,2.19611952254357,2.42223128079292,2.03358606709338,2.16872793302739,2.12494894252065,1.93733347430445,2.24968629995667,1.87888778382466,2.04286832082397
X550,2.10690713527045,2.2705855245045,2.43918552130698,2.07539084868915,2.28431521044426,2.0221156138102,2.18803918717464,2.39322346780095,2.19630081746809,2.1639894702037
X563,2.04131512956072,2.37720450576829,2.39154972779967,1.9083076687139,2.21451752206428,2.07504689936932,1.95202995620571,2.33542394687306,1.99233015968987,2.06812272487676
X570,2.28077803817455,2.13737784732793,2.42021789514372,2.17158991004051,2.19073355616585,2.17074940470708,1.96316190660026,2.44177034737751,1.92019079526083,2.1174896926507
X580,1.93576024114511,2.1585299479988,2.50376847519171,2.25379602882401,2.29822660858509,2.06539079058217,1.9893144066626,2.31359426901336,2.02341998137695,2.16204749987961
X2219,2.14532876228826,2.31658661262986,2.39103818021985,2.28905395870969,2.29154436787707,2.1562856778347,2.17480058392674,2.29564506662438,2.19102763813185,2.1696500939201
X20025,2.06459817191262,2.20739270625185,2.4168214020003,2.2427384809495,2.2182802319019,2.0099025389475,2.00808650748199,2.40387644080661,2.05895435512643,2.16162963866677
X20046,2.13592820216624,2.22189876157251,2.4016536557661,2.17192956111499,2.33012827300022,2.06882791589521,2.04593000014721,2.27781277722746,2.0256358834212,2.10061455310004
X22012,2.09788663029014,2.094341237856,2.215030659485,2.10620031098053,2.10393901328022,2.11855046973924,1.89149620101559,2.38496568107886,1.88395115521753,2.17540037469953
X22013,1.77112299437761,2.09743493526007,2.26173288968418,2.06940383200925,2.19341733899327,2.2450280114614,1.9224090049558,2.3915863222472,1.86732911071773,2.00752117497153
X22020,2.08516015917328,2.1923047168681,2.37665770737983,2.30815654359897,2.24632368848561,2.05746557940117,1.84172196182492,2.33837106802822,2.05413655412618,2.15281165239503
X22047,2.06301231805396,2.27201660118751,2.41874102786182,2.17103459424598,2.23342685069124,2.09067199342258,1.94406416055219,2.23649870786619,2.12653741420459,2.21352325160201
X22058,2.06882665255673,2.2824731978795,2.37682948441367,2.00745938530086,2.20829089690344,2.19574570656793,1.86460402455913,2.40747469779076,1.90168355593713,2.16041535420222
X23074,2.13240157129221,2.02113953300804,2.3165333620256,1.97169763243913,2.07782774020243,2.04569084069458,1.87898860028532,2.2367753642143,1.8136530462194,2.14610904492585
X23170,2.03234993414599,2.30333980812492,2.37174168441149,2.14417301295133,2.05540368344104,2.09716971486159,1.82031129214415,2.22066437295871,1.92227883023628,2.08609684593
X23172,1.98948537851489,2.34159039833335,2.41496958268863,2.0293015293752,2.23833666310927,2.08564848866746,1.95017959342175,2.28711707767889,2.05425321249229,2.0619697957678
X23197,2.18011458830037,2.20943308266572,2.36905424925569,1.87831018457385,2.20742460198579,2.13376872915597,1.98887795396256,2.17629257920748,1.91822323659156,2.05492725693811
X23212,2.13945068000751,2.2452800801737,2.39230056063289,2.20191356682235,2.2436362537693,2.06717283797595,2.0254366795763,2.33210991407571,2.02352838160126,2.08591802391952
X23213,2.17765205689676,2.22025293319057,2.32488264459232,1.96452159098134,2.35157999810738,2.16546899727753,2.00694208286694,2.17126382766648,2.30474775275868,2.19235272913245
